Known As,Full Name,Overall,Nationality,Age,Club Name,Wage(in Euro)
'N. Fekir','Nabil Fekir',85,'France',28.0,'Real Betis Balompié',48000.0
'S. Gnabry','Serge Gnabry',85,'Germany',26.0,'FC Bayern München',100000.0
'K. Walker','Kyle Walker',85,'England',32.0,'Manchester City',170000.0
'P. Aubameyang','Pierre-Emerick Aubameyang',85,'Gabon',33.0,'Chelsea',180000.0
'Jordi Alba','Jordi Alba Ramos',85,'Spain',33.0,'FC Barcelona',190000.0
'Sergio Busquets','Sergio Busquets Burgos',85,'Spain',33.0,'FC Barcelona',190000.0
'Iago Aspas','Iago Aspas Juncal',85,'Spain',34.0,'RC Celta de Vigo',50000.0
'Jorginho','Luiz Frello Filho Jorge',85,'Italy',30.0,'Chelsea',165000.0
'M. Acuña','Marcos Acuña',85,'Argentina',30.0,'Sevilla FC',46000.0
'Gerard Moreno','Gerard Moreno Balagueró',85,'Spain',30.0,'Villarreal CF',64000.0
'Y. Carrasco','Yannick Carrasco',85,'Belgium',28.0,'Atlético de Madrid',90000.0
'J. Vardy','Jamie Vardy',85,'England',35.0,'Leicester City',110000.0
'Pedri','Pedro González López',85,'Spain',19.0,'FC Barcelona',115000.0
'M. de Ligt','Matthijs de Ligt',85,'Netherlands',22.0,'FC Bayern München',77000.0
'P. Schick','Patrik Schick',85,'Czech Republic',26.0,'Bayer 04 Leverkusen',95000.0
'T. Hernández','Theo Hernández',85,'France',24.0,'AC Milan',82000.0
'P. Gulácsi','Péter Gulácsi',85,'Hungary',32.0,'RB Leipzig',65000.0
'Y. Sommer','Yann Sommer',85,'Switzerland',33.0,'Borussia Mönchengladbach',40000.0
'Sergio Ramos','Sergio Ramos García',84,'Spain',36.0,'Paris Saint-Germain',75000.0
'S. Handanovic','Samir Handanovic',84,'Slovenia',37.0,'Inter',46000.0
'L. Suárez','Luis Suárez',84,'Uruguay',35.0,'Club Nacional de Football',1000.0
'Y. Bounou','Yassine Bounou',84,'Morocco',31.0,'Sevilla FC',34000.0
'H. Çalhanoglu','Hakan Çalhanoglu',84,'Turkey',28.0,'Inter',100000.0
'M. Kovacic','Mateo Kovacic',84,'Croatia',28.0,'Chelsea',155000.0
'Carvajal','Daniel Carvajal Ramos',84,'Spain',30.0,'Real Madrid CF',185000.0
'S. Savic','Stefan Savic',84,'Montenegro',31.0,'Atlético de Madrid',74000.0
'E. Martínez','Emiliano Martínez',84,'Argentina',29.0,'Aston Villa',95000.0
'R. Varane','Raphaël Varane',84,'France',29.0,'Manchester United',155000.0
'W. Ben Yedder','Wissam Ben Yedder',84,'France',31.0,'AS Monaco',88000.0
'S. de Vrij','Stefan de Vrij',84,'Netherlands',30.0,'Inter',88000.0
'J. Matip','Joel Matip',84,'Cameroon',30.0,'Liverpool',140000.0
'K. Casteels','Koen Casteels',84,'Belgium',30.0,'VfL Wolfsburg',55000.0
'L. Bonucci','Leonardo Bonucci',84,'Italy',35.0,'Juventus',95000.0
'Á. Di María','Ángel Di María',84,'Argentina',34.0,'Juventus',160000.0
'E. Hazard','Eden Hazard',84,'Belgium',31.0,'Real Madrid CF',220000.0
'E. Deko','Edin Deko',84,'Bosnia and Herzegovina',36.0,'Inter',80000.0
'G. Chiellini','Giorgio Chiellini',84,'Italy',37.0,'Los Angeles FC',11000.0
'R. De Paul','Rodrigo Javier De Paul',84,'Argentina',28.0,'Atlético de Madrid',85000.0
'F. Chiesa','Federico Chiesa',84,'Italy',24.0,'Juventus',140000.0
'J. Tartt','Jamie Tartt',84,'England',24.0,'AFC Richmond',78000.0
'Éder Militão','Éder Gabriel Militão',84,'Brazil',24.0,'Real Madrid CF',160000.0
'L. Sané','Leroy Sané',84,'Germany',26.0,'FC Bayern München',90000.0
'A. Bastoni','Alessandro Bastoni',84,'Italy',23.0,'Inter',75000.0
'D. Rice','Declan Rice',84,'England',23.0,'West Ham United',83000.0
'F. Tomori','Fikayo Tomori',84,'England',24.0,'AC Milan',75000.0
'D. Vlahovic','Duan Vlahovic',84,'Serbia',22.0,'Juventus',140000.0
'Diego Carlos','Diego Carlos Santos Silva',83,'Brazil',29.0,'Aston Villa',105000.0
'Marco Asensio','Marco Asensio Willemsen',83,'Spain',26.0,'Real Madrid CF',200000.0
'Merino','Mikel Merino Zazón',83,'Spain',26.0,'Real Sociedad',49000.0
'P. Kimpembe','Presnel Kimpembe',83,'France',26.0,'Paris Saint-Germain',95000.0
'F. Mendy','Ferland Mendy',83,'France',27.0,'Real Madrid CF',170000.0
'Unai Simón','Unai Simón Mendibil',83,'Spain',25.0,'Athletic Club de Bilbao',30000.0
'V. Osimhen','Victor Osimhen',83,'Nigeria',23.0,'Napoli',72000.0
'C. Romero','Cristian Romero',83,'Argentina',24.0,'Tottenham Hotspur',95000.0
'G. Kobel','Gregor Kobel',83,'Switzerland',24.0,'Borussia Dortmund',40000.0
'Pau Torres','Pau Francisco Torres',83,'Spain',25.0,'Villarreal CF',43000.0
'C. Gakpo','Cody Gakpo',83,'Netherlands',23.0,'PSV',29000.0
'D. Zapata','Duván Zapata',83,'Colombia',31.0,'Atalanta',77000.0
'J. Giménez','José María Giménez',83,'Uruguay',27.0,'Atlético de Madrid',68000.0
'Bremer','Gleison Bremer Silva Nascimento',83,'Brazil',25.0,'Juventus',115000.0
'Piqué','Gerard Piqué Bernabeu',83,'Spain',35.0,'FC Barcelona',110000.0
'K. Schmeichel','Kasper Schmeichel',83,'Denmark',35.0,'OGC Nice',31000.0
'L. Hrádecký','Luká Hrádecký',83,'Finland',32.0,'Bayer 04 Leverkusen',55000.0
'O. Baumann','Oliver Baumann',83,'Germany',32.0,'TSG Hoffenheim',40000.0
'Luis Alberto','Luis Alberto Romero Alconchel',83,'Spain',29.0,'Lazio',74000.0
'Roberto Firmino','Roberto Firmino Barbosa de Oliveira',83,'Brazil',30.0,'Liverpool',150000.0
'J. Stones','John Stones',83,'England',28.0,'Manchester City',150000.0
'G. Rulli','Gerónimo Rulli',82,'Argentina',30.0,'Villarreal CF',34000.0
'G. Di Lorenzo','Giovanni Di Lorenzo',82,'Italy',28.0,'Napoli',66000.0
'David Soria','David Soria Solís',82,'Spain',29.0,'Getafe CF',32000.0
'J. Tah','Jonathan Tah',82,'Germany',26.0,'Bayer 04 Leverkusen',62000.0
'A. Christensen','Andreas Christensen',82,'Denmark',26.0,'FC Barcelona',145000.0
'A. Onana','André Onana',82,'Cameroon',26.0,'Inter',59000.0
'M. Ginter','Matthias Ginter',82,'Germany',28.0,'Sport-Club Freiburg',40000.0
'S. Haller','Sébastien Haller',82,'Côte d''Ivoire',28.0,'Borussia Dortmund',68000.0
'T. Abraham','Tammy Abraham',82,'England',24.0,'Roma',77000.0
'Álex Remiro','Alejandro Remiro Gargallo',82,'Spain',27.0,'Real Sociedad',34000.0
'D. Rojas','Dani Rojas',82,'Mexico',26.0,'AFC Richmond',74000.0
'N. Schlotterbeck','Nico Schlotterbeck',82,'Germany',22.0,'Borussia Dortmund',47000.0
'N. Mazraoui','Noussair Mazraoui',82,'Morocco',24.0,'FC Bayern München',59000.0
'A. Ramsdale','Aaron Ramsdale',82,'England',24.0,'Arsenal',62000.0
'R. Jiménez','Raúl Jiménez',82,'Mexico',31.0,'Wolverhampton Wanderers',110000.0
'Josué Chiamulera','Josué Durval Chiamulera Vaz',82,'Brazil',30.0,'Club Athletico Paranaense',23000.0
'Lucas Mantela','Lucas Luciano Mantela Patrício',82,'Brazil',22.0,'Palmeiras',33000.0
'André Silva','André Miguel Valente da Silva',82,'Portugal',26.0,'RB Leipzig',73000.0
'J. Pickford','Jordan Pickford',82,'England',28.0,'Everton',45000.0
'W. Orban','Willi Orban',82,'Hungary',29.0,'RB Leipzig',65000.0
'Z. Ibrahimovic','Zlatan Ibrahimovic',82,'Sweden',40.0,'AC Milan',63000.0
'Iñigo Martínez','Iñigo Martínez Berridi',82,'Spain',31.0,'Athletic Club de Bilbao',35000.0
'L. Fabianski','Lukasz Fabianski',82,'Poland',37.0,'West Ham United',43000.0
'I. Rakitic','Ivan Rakitic',82,'Croatia',34.0,'Sevilla FC',39000.0
'Rui Patrício','Rui Pedro dos Santos Patrício',82,'Portugal',34.0,'Roma',59000.0
'O. Giroud','Olivier Giroud',82,'France',35.0,'AC Milan',66000.0
'S. Kjær','Simon Kjær',82,'Denmark',33.0,'AC Milan',73000.0
'Yuri Berchiche','Yuri Berchiche Izeta',82,'Spain',32.0,'Athletic Club de Bilbao',35000.0
'T. Alderweireld','Toby Alderweireld',82,'Belgium',33.0,'Royal Antwerp FC',30000.0
'M. Arnautovic','Marko Arnautovic',82,'Austria',33.0,'Bologna',51000.0
'Raúl Albiol','Raúl Albiol Tortajada',82,'Spain',36.0,'Villarreal CF',30000.0
'S. Coates','Sebastián Coates',82,'Uruguay',31.0,'Sporting CP',19000.0
'L. Digne','Lucas Digne',82,'France',28.0,'Aston Villa',100000.0
'Gabriel Paulista','Gabriel Armando de Abreu',82,'Brazil',31.0,'Valencia CF',44000.0
'A. Lopes','Anthony Lopes',82,'Portugal',31.0,'Olympique Lyonnais',60000.0
'L. Muriel','Luis Muriel',82,'Colombia',31.0,'Atalanta',70000.0
'F. Acerbi','Francesco Acerbi',82,'Italy',34.0,'Inter',59000.0
'E. Ndicka','Evan Ndicka',81,'France',22.0,'Eintracht Frankfurt',30000.0
'A. Areola','Alphonse Areola',81,'France',29.0,'West Ham United',64000.0
'A. Lacazette','Alexandre Lacazette',81,'France',31.0,'Olympique Lyonnais',81000.0
'Neto','Norberto Murara Neto',81,'Brazil',32.0,'AFC Bournemouth',47000.0
'I. Konaté','Ibrahima Konaté',81,'France',23.0,'Liverpool',90000.0
'E. Tapsoba','Edmond Tapsoba',81,'Burkina Faso',23.0,'Bayer 04 Leverkusen',49000.0
'Marc Bartra','Marc Bartra Aregall',81,'Spain',31.0,'Trabzonspor',44000.0
'Felipe','Felipe Augusto de Almeida Monteiro',81,'Brazil',33.0,'Atlético de Madrid',57000.0
'H. Maguire','Harry Maguire',81,'England',29.0,'Manchester United',120000.0
'Oswaldinato','Marvin Oswaldo Rangel Azevedo',81,'Brazil',30.0,'Flamengo',54000.0
'G. Mancini','Gianluca Mancini',81,'Italy',26.0,'Roma',68000.0
'G. Rodríguez','Guido Rodríguez',81,'Argentina',27.0,'Real Betis Balompié',30000.0
'D. Upamecano','Dayot Upamecano',81,'France',23.0,'FC Bayern München',54000.0
'M. Akanji','Manuel Akanji',81,'Switzerland',26.0,'Manchester City',120000.0
'K. Tierney','Kieran Tierney',81,'Scotland',25.0,'Arsenal',82000.0
'Gabriel','Gabriel dos S. Magalhães',81,'Brazil',24.0,'Arsenal',74000.0
'N. Otamendi','Nicolás Otamendi',81,'Argentina',34.0,'SL Benfica',18000.0
'C. Smalling','Chris Smalling',81,'England',32.0,'Roma',68000.0
'N. Pope','Nick Pope',81,'England',30.0,'Newcastle United',75000.0
'Rafael Tolói','Rafael Tolói',81,'Italy',31.0,'Atalanta',55000.0
'E. Cavani','Edinson Cavani',81,'Uruguay',35.0,'Valencia CF',37000.0
'Adán','Antonio Adán Garrido',81,'Spain',35.0,'Sporting CP',9000.0
'J. Vertonghen','Jan Vertonghen',81,'Belgium',35.0,'RSC Anderlecht',21000.0
'João Moutinho','João Filipe Moutinho',81,'Portugal',35.0,'Wolverhampton Wanderers',70000.0
'Pepe','Képler Laveran Lima Ferreira',81,'Portugal',39.0,'FC Porto',12000.0
'José Sá','José Pedro Malheiro de Sá',81,'Portugal',29.0,'Wolverhampton Wanderers',74000.0
'Borja Iglesias','Borja Iglesias Quintás',81,'Spain',29.0,'Real Betis Balompié',36000.0
'J. Ward-Prowse','James Ward-Prowse',81,'England',27.0,'Southampton',69000.0
'G. Laborde','Gaëtan Laborde',81,'France',28.0,'OGC Nice',61000.0
'N. Tagliafico','Nicolás Tagliafico',81,'Argentina',29.0,'Olympique Lyonnais',72000.0
'O. Vlachodimos','Odisseas Vlachodimos',81,'Greece',28.0,'SL Benfica',15000.0
'R. Le Normand','Robin Le Normand',81,'France',25.0,'Real Sociedad',36000.0
'N. Keïta','Naby Keïta',81,'Guinea',27.0,'Liverpool',115000.0
'H. Lozano','Hirving Lozano',81,'Mexico',26.0,'Napoli',69000.0
'A. Saint-Maximin','Allan Saint-Maximin',81,'France',25.0,'Newcastle United',95000.0
'S. Fofana','Seko Fofana',81,'Côte d''Ivoire',27.0,'Racing Club de Lens',43000.0
'Iñaki Williams','Iñaki Williams Arthuer',81,'Ghana',28.0,'Athletic Club de Bilbao',40000.0
'J. Musso','Juan Musso',81,'Argentina',28.0,'Atalanta',47000.0
'Y. En-Nesyri','Youssef En-Nesyri',80,'Morocco',25.0,'Sevilla FC',35000.0
'Javi Galán','Javier Galán Gil',80,'Spain',27.0,'RC Celta de Vigo',28000.0
'F. Neuhaus','Florian Neuhaus',80,'Germany',25.0,'Borussia Mönchengladbach',34000.0
'A. Isak','Alexander Isak',80,'Sweden',22.0,'Newcastle United',90000.0
'A. Lafont','Alban Lafont',80,'France',23.0,'FC Nantes',21000.0
'Tony Abranjes','Tony Josimar Abranjes Meneses',80,'Brazil',34.0,'Internacional',32000.0
'Héniton Pires','Héniton Enaldo Pires Tramontino',80,'Brazil',26.0,'Flamengo',35000.0
'A. Wan-Bissaka','Aaron Wan-Bissaka',80,'England',24.0,'Manchester United',90000.0
'D. Calabria','Davide Calabria',80,'Italy',25.0,'AC Milan',60000.0
'B. Kamara','Boubacar Kamara',80,'France',22.0,'Aston Villa',69000.0
'V. Tsygankov','Viktor Tsygankov',80,'Ukraine',24.0,'Dynamo Kyiv',1000.0
'M. Dmitrovic','Marko Dmitrovic',80,'Serbia',30.0,'Sevilla FC',25000.0
'I. McAdoo','Isaac McAdoo',80,'England',26.0,'AFC Richmond',54000.0
'S. Botman','Sven Botman',80,'Netherlands',22.0,'Newcastle United',74000.0
'A. Rrahmani','Amir Rrahmani',80,'Kosovo',28.0,'Napoli',57000.0
'L. Majer','Lovro Majer',80,'Croatia',24.0,'Stade Rennais FC',47000.0
'W. Saliba','William Saliba',80,'France',21.0,'Arsenal',58000.0
'D. Livakovic','Dominik Livakovic',80,'Croatia',27.0,'Dinamo Zagreb',1000.0
'J. Clauss','Jonathan Clauss',80,'France',29.0,'Olympique de Marseille',45000.0
'N. Milenkovic','Nikola Milenkovic',80,'Serbia',24.0,'Fiorentina',48000.0
'N. Aguerd','Nayef Aguerd',80,'Morocco',26.0,'West Ham United',70000.0
'Lucas Moura','Lucas Rodrigues M. Silva',80,'Brazil',29.0,'Tottenham Hotspur',105000.0
'Danilo','Danilo Luiz da Silva',80,'Brazil',30.0,'Juventus',95000.0
'J. Cillessen','Jasper Cillessen',80,'Netherlands',33.0,'N.E.C. Nijmegen',13000.0
'S. Ortega','Stefan Ortega',80,'Germany',29.0,'Manchester City',95000.0
'Morata','Álvaro Borja Morata Martín',80,'Spain',29.0,'Atlético de Madrid',66000.0
'L. Shaw','Luke Shaw',80,'England',26.0,'Manchester United',105000.0
'C. Biraghi','Cristiano Biraghi',80,'Italy',29.0,'Fiorentina',58000.0
'E. Dier','Eric Dier',80,'England',28.0,'Tottenham Hotspur',90000.0
'T. Vaclík','Tomá Vaclík',80,'Czech Republic',33.0,'Free agent',0.0
'K. Zouma','Kurt Zouma',80,'France',27.0,'West Ham United',70000.0
'A. Delort','Andy Delort',80,'Algeria',30.0,'OGC Nice',55000.0
'B. Leno','Bernd Leno',80,'Germany',30.0,'Fulham',50000.0
'Alex Sandro','Alex Sandro Lobo Silva',80,'Brazil',31.0,'Juventus',95000.0
'Yeray','Yeray Álvarez López',80,'Spain',27.0,'Athletic Club de Bilbao',31000.0
'G. Ochoa','Guillermo Ochoa',80,'Mexico',36.0,'Free agent',0.0
'H. Herrera','Héctor Herrera',80,'Mexico',32.0,'Houston Dynamo',12000.0
'A. Consigli','Andrea Consigli',80,'Italy',35.0,'U.S. Sassuolo Calcio',20000.0
'Raúl García','Raúl García Escudero',80,'Spain',35.0,'Athletic Club de Bilbao',28000.0
'José Fonte','José Miguel da Rocha Fonte',80,'Portugal',38.0,'LOSC Lille',26000.0
'S. Mignolet','Simon Mignolet',80,'Belgium',34.0,'Club Brugge KV',24000.0
'Joselu','José Luis Sanmartín Mato',80,'Spain',32.0,'RCD Espanyol de Barcelona',27000.0
'D. Ospina','David Ospina',80,'Colombia',33.0,'Al Nassr',36000.0
'A. Cragno','Alessio Cragno',80,'Italy',28.0,'AC Monza',6000.0
'V. Lindelöf','Victor Lindelöf',80,'Sweden',27.0,'Manchester United',105000.0
'Álex Moreno','Alexandre Moreno Lopera',80,'Spain',29.0,'Real Betis Balompié',29000.0
'J. Ledesma','Jeremías Conan Ledesma',80,'Argentina',29.0,'Cádiz CF',30000.0
'H. Traoré','Hamari Traoré',80,'Mali',30.0,'Stade Rennais FC',50000.0
'Kepa','Kepa Arrizabalaga',80,'Spain',27.0,'Chelsea',80000.0
'D. Calvert-Lewin','Dominic Calvert-Lewin',80,'England',25.0,'Everton',52000.0
'U. Çakir','Ugurcan Çakir',80,'Turkey',26.0,'Trabzonspor',33000.0
'G. Scamacca','Gianluca Scamacca',80,'Italy',23.0,'West Ham United',73000.0
'M. Dúbravka','Martin Dúbravka',80,'Slovakia',33.0,'Manchester United',70000.0
'W. Benítez','Walter Benítez',80,'Argentina',29.0,'PSV',19000.0
'William Carvalho','William Silva de Carvalho',80,'Portugal',30.0,'Real Betis Balompié',28000.0
'A. Belotti','Andrea Belotti',80,'Italy',28.0,'Roma',78000.0
'Rui Silva','Rui Tiago Dantas da Silva',80,'Portugal',28.0,'Real Betis Balompié',24000.0
'A. Romagnoli','Alessio Romagnoli',80,'Italy',27.0,'Lazio',51000.0
'M. Dembélé','Moussa Dembélé',80,'France',25.0,'Olympique Lyonnais',73000.0
'M. Flekken','Mark Flekken',80,'Netherlands',29.0,'Sport-Club Freiburg',28000.0
'Alex Telles','Alex Nicolao Telles',80,'Brazil',29.0,'Sevilla FC',110000.0
'Unai Núñez','Unai Núñez Gestoso',79,'Spain',25.0,'RC Celta de Vigo',28000.0
'A. Nwakaeme','Anthony Nwakaeme',79,'Nigeria',33.0,'Al Fayha',32000.0
'T. Malacia','Tyrell Malacia',79,'Netherlands',22.0,'Manchester United',86000.0
'J. David','Jonathan David',79,'Canada',22.0,'LOSC Lille',37000.0
'C. Gallagher','Conor Gallagher',79,'England',22.0,'Chelsea',89000.0
'Kim Min Jae','Min Jae Kim',79,'Korea Republic',25.0,'Napoli',49000.0
'A. Ogbonna','Angelo Ogbonna',79,'Italy',34.0,'West Ham United',66000.0
'J. Boateng','Jérôme Boateng',79,'Germany',33.0,'Olympique Lyonnais',60000.0
'L. Stindl','Lars Stindl',79,'Germany',33.0,'Borussia Mönchengladbach',34000.0
'Luís Maximiano','Luís Manuel Arantes Maximiano',79,'Portugal',23.0,'Lazio',32000.0
'Diego López','Diego López Rodríguez',79,'Spain',40.0,'Rayo Vallecano',11000.0
'R. Gravenberch','Ryan Gravenberch',79,'Netherlands',20.0,'FC Bayern München',45000.0
'Ansu Fati','Anssumane Fati',79,'Spain',19.0,'FC Barcelona',84000.0
'G. Goodman','George Goodman',79,'England',29.0,'AFC Richmond',53000.0
'Gonçalo Inácio','Gonçalo Bernardo Inácio',79,'Portugal',20.0,'Sporting CP',11000.0
'Matheus Nunes','Matheus Luiz Nunes',79,'Portugal',23.0,'Wolverhampton Wanderers',73000.0
'Beto','Norberto Gomes Betuncal',79,'Portugal',24.0,'Udinese Calcio',21000.0
'W. Fofana','Wesley Fofana',79,'France',21.0,'Chelsea',67000.0
'Ibañez','Roger Ibañez Da Silva',79,'Brazil',23.0,'Roma',51000.0
'Guaita','Vicente Guaita Panadero',79,'Spain',35.0,'Crystal Palace',29000.0
'A. Talavera','Alfredo Talavera',79,'Mexico',39.0,'Free agent',0.0
'R. Bentancur','Rodrigo Bentancur',79,'Uruguay',25.0,'Tottenham Hotspur',85000.0
'Luimo Boas Santos','Luan Vágner Boas Macedo',79,'Brazil',22.0,'Santos',32000.0
'Gabri Prestão','Bernard Gabriel Prestão Chaves',79,'Brazil',30.0,'Internacional',25000.0
'Melvin Parrela','Melvin Luan Parrela Porfírio',79,'Brazil',22.0,'RB Bragantino',17000.0
'Adnan Vidual','Adnan Claudiano Vidual Machado',79,'Brazil',30.0,'Internacional',30000.0
'Emelvinson','Emelvin William Anjos Rochedo',79,'Brazil',34.0,'RB Bragantino',16000.0
'O. Zinchenko','Oleksandr Zinchenko',79,'Ukraine',25.0,'Arsenal',73000.0
'E. Konsa','Ezri Konsa',79,'England',24.0,'Aston Villa',65000.0
'A. Rossi','Agustín Rossi',79,'Argentina',26.0,'Boca Juniors',16000.0
'D. Sánchez','Davinson Sánchez',79,'Colombia',26.0,'Tottenham Hotspur',81000.0
'N. Pépé','Nicolas Pépé',79,'Côte d''Ivoire',27.0,'OGC Nice',83000.0
'David García','David García Zubiria',79,'Spain',28.0,'CA Osasuna',32000.0
'W. Weghorst','Wout Weghorst',79,'Netherlands',29.0,'Besiktas JK',59000.0
'J. Omlin','Jonas Omlin',79,'Switzerland',28.0,'Montpellier Hérault SC',23000.0
'Rafa Mir','Rafael Mir Vicente',79,'Spain',25.0,'Sevilla FC',33000.0
'B. White','Benjamin White',79,'England',24.0,'Arsenal',65000.0
'J. Bijlow','Justin Bijlow',79,'Netherlands',24.0,'Feyenoord',9000.0
'S. Mandanda','Steve Mandanda',79,'France',37.0,'Stade Rennais FC',25000.0
'J. Evans','Jonny Evans',79,'Northern Ireland',34.0,'Leicester City',76000.0
'Ó. Trejo','Óscar Trejo',79,'Argentina',34.0,'Rayo Vallecano',25000.0
'J. Hernández','Javier Hernández',79,'Mexico',34.0,'LA Galaxy',13000.0
'Sergio Asenjo','Sergio Asenjo Andrés',79,'Spain',33.0,'Real Valladolid CF',21000.0
'A. Modeste','Anthony Modeste',79,'France',34.0,'Borussia Dortmund',53000.0
'F. Muslera','Fernando Muslera',79,'Uruguay',36.0,'Galatasaray SK',34000.0
'G. Buffon','Gianluigi Buffon',79,'Italy',44.0,'Parma',3000.0
'O. Wijndal','Owen Wijndal',79,'Netherlands',22.0,'Ajax',16000.0
'Lucas Veríssimo','Lucas Veríssimo da Silva',79,'Brazil',26.0,'SL Benfica',16000.0
'M. Lazzari','Manuel Lazzari',79,'Italy',28.0,'Lazio',51000.0
'Diogo Costa','Diogo Meireles Costa',79,'Portugal',22.0,'FC Porto',11000.0
'Marcão','Marcos Nascimento Teixeira',79,'Brazil',26.0,'Sevilla FC',29000.0
'D. Henderson','Dean Henderson',79,'England',25.0,'Nottingham Forest',76000.0
'T. Tomiyasu','Takehiro Tomiyasu',79,'Japan',23.0,'Arsenal',65000.0
'L. Jovic','Luka Jovic',79,'Serbia',24.0,'Fiorentina',55000.0
'Pau López','Pau López Sabata',79,'Spain',27.0,'Olympique de Marseille',33000.0
'L. de Jong','Luuk de Jong',79,'Netherlands',31.0,'PSV',24000.0
'João Pedro','João Pedro G. Santos Galvão',79,'Italy',30.0,'Fenerbahçe SK',77000.0
'J. Tarkowski','James Tarkowski',79,'England',29.0,'Everton',45000.0
'Suso','Jesús Joaquín Fernández Sáez',79,'Spain',28.0,'Sevilla FC',36000.0
'C. Coady','Conor Coady',79,'England',29.0,'Everton',80000.0
'Felipe Anderson','Felipe Anderson Pereira Gomes',79,'Brazil',29.0,'Lazio',60000.0
'Ismaily','Ismaily Gonçalves dos S.',79,'Brazil',32.0,'LOSC Lille',35000.0
'A. Marchesín','Agustín Marchesín',79,'Argentina',34.0,'RC Celta de Vigo',21000.0
'L. Dunk','Lewis Dunk',79,'England',30.0,'Brighton & Hove Albion',65000.0
